#  aims_uuid : 49F50D82-3551-4865-A44C-DCE095C95869                                
# spin_up angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -20.00000000       38.51594968       -0.28291142        4.86543540       32.18948699        1.74393872
      -19.99780000       34.76136732       -0.23900481        4.36632925       29.05877327        1.57526961
      -19.99560000       12.44999130       -0.07944463        1.54092309       10.42316937        0.56534346
      -19.99340000        7.62416538       -0.04857771        0.87325672        6.44847688        0.35100949
      -19.99120000        8.80762334       -0.05304505        0.95286242        7.49887656        0.40892941
      -19.98900000       10.93654146       -0.06197930        1.11029476        9.37600836        0.51221764
      -19.98680000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.98460000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.98240000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.98020000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.97800000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.97580000       23.23601691       -0.13019672        2.34923596       19.91318772        1.10378996
      -19.97360000       10.98700649       -0.06129333        1.10942121        9.41550907        0.52336954
      -19.97140000        9.73781987       -0.05103110        0.97098389        8.35296522        0.46490186
      -19.96920000        9.62721542       -0.04652129        0.94620316        8.26698642        0.46054713
      -19.96700000       15.87981482       -0.07364650        1.54393262       13.64768637        0.76184234
      -19.96480000       22.54491751       -0.09793211        2.16544606       19.39275496        1.08464860
      -19.96260000       27.94093621       -0.10570157        2.62122524       24.07887388        1.34653866
      -19.96040000       11.29719033       -0.03646513        1.03144626        9.75670664        0.54550256
      -19.95820000        3.48224626       -0.01016543        0.31126590        3.01247308        0.16867272
      -19.95600000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.95380000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.95160000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.94940000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.94720000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.94500000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.94280000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.94060000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.93840000       21.82854687       -0.08579834        1.99724881       18.86301834        1.05407807
      -19.93620000       24.85120566       -0.06977219        2.24589473       21.47291485        1.20216826
      -19.93400000       32.92594419       -0.08828158        2.88703005       28.53182147        1.59537425
      -19.93180000       33.84330574       -0.06512848        2.97995891       29.28522319        1.64325212
      -19.92960000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.92740000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.92520000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.92300000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.92080000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.91860000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.91640000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.91420000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.91200000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.90980000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.90760000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.90540000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.90320000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.90100000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89880000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89660000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89440000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89220000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.88780000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.88560000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.88340000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.88120000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87900000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87680000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87460000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87240000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87020000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.86800000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.86580000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.86360000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.86140000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.85920000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.85700000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.85480000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
