#  aims_uuid : 83F7D469-8782-44E5-A187-A01CD9231FC7                                
# spin_up angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000       24.65680883        0.26722200        3.48948773       20.57321329        0.32688580
       -9.99879988       30.96809992        0.29812284        3.89523144       26.35116921        0.42357643
       -9.99759976       36.03596968        0.31727336        4.93260337       30.29427756        0.49181539
       -9.99639964       26.63676893        0.24174421        3.68500347       22.33190584        0.37811541
       -9.99519952       30.32395713        0.25676606        3.57074700       26.05869179        0.43775228
       -9.99399940       27.78542588        0.22573447        3.07208413       24.09274429        0.39486300
       -9.99279928       28.08645508        0.22120714        2.92475766       24.53270768        0.40778260
       -9.99159916       26.89387663        0.20561279        2.78742375       23.50861445        0.39222564
       -9.99039904       24.35059027        0.19350579        2.69469685       21.09907419        0.36331344
       -9.98919892       25.46609626        0.19549295        2.41489833       22.46037739        0.39532758
       -9.98799880       26.75749783        0.20166035        2.37554745       23.76407306        0.41621696
       -9.98679868       27.03120114        0.20747551        2.18162055       24.19766548        0.44443960
       -9.98559856       25.03133509        0.19980571        2.22116848       22.21063090        0.39973000
       -9.98439844       26.96408004        0.21733341        2.36288399       23.98101092        0.40285172
       -9.98319832       26.88219375        0.22146922        2.34495642       23.93379868        0.38196943
       -9.98199820       28.23276365        0.22857828        2.37620930       25.23383936        0.39413671
       -9.98079808       36.95252643        0.28277375        2.95796342       33.20098250        0.51080676
       -9.97959796       29.70361320        0.23040937        2.32849372       26.72836735        0.41634275
       -9.97839784       36.35883784        0.27439591        2.65867049       32.93289781        0.49287362
       -9.97719772       27.41586979        0.22457794        2.16094376       24.64512400        0.38522410
       -9.97599760       27.13218781        0.22307617        2.16402186       24.37046903        0.37462074
       -9.97479748       24.25733734        0.20264265        1.91228946       21.80942009        0.33298515
       -9.97359736       28.57965521        0.22034253        2.18672307       25.78845222        0.38413739
       -9.97239724       37.06542054        0.26534578        2.77581105       33.56533457        0.45892914
       -9.97119712       23.14186483        0.19000234        2.00537103       20.63255910        0.31393236
       -9.96999700       24.12065531        0.19457107        2.11312022       21.49166327        0.32130075
       -9.96879688       24.91317669        0.20029210        2.31063354       22.07096683        0.33128422
       -9.96759676       26.40943120        0.22731303        2.72895105       23.09012230        0.36304481
       -9.96639664       31.78642922        0.28972908        3.47695600       27.57837617        0.44136797
       -9.96519652       31.31175505        0.28874623        3.50976451       27.06969561        0.44354869
       -9.96399640       27.71270696        0.27371352        3.30453497       23.72551575        0.40894272
       -9.96279628       29.97495965        0.31710715        3.70835199       25.49592185        0.45357865
       -9.96159616       34.78829722        0.39086075        4.49592734       29.37129176        0.53021737
       -9.96039604       28.96611012        0.28346983        3.04370516       25.19247251        0.44646262
       -9.95919592       32.66905611        0.35024658        3.72171319       28.10251674        0.49457959
       -9.95799580       30.29996997        0.29564113        2.89389191       26.67579215        0.43464478
       -9.95679568       37.29238243        0.36407258        3.71410394       32.68653647        0.52766944
       -9.95559556       36.65228471        0.31104048        3.14648105       32.67545354        0.51930964
       -9.95439544       36.25904501        0.29326660        2.88498166       32.56648749        0.51430926
       -9.95319532       44.42093096        0.37773899        3.76261466       39.65947985        0.62109747
       -9.95199520       29.17511278        0.24826219        2.65718272       25.85692264        0.41274524
       -9.95079508       49.72343110        0.48560618        6.37106707       42.08037318        0.78638468
       -9.94959496       35.15617393        0.30229696        3.68904659       30.66581309        0.49901728
       -9.94839484       36.18324151        0.28995097        3.45463486       31.94581840        0.49283727
       -9.94719472       24.93722830        0.19816874        2.42270458       21.95733979        0.35901519
       -9.94599460       31.91216237        0.25293002        2.88281675       28.33114188        0.44527372
       -9.94479448       27.79480500        0.22383620        2.36767313       24.81091262        0.39238305
       -9.94359436       20.52461228        0.17252808        1.86020036       18.17412885        0.31775499
       -9.94239424       22.68676063        0.19042028        2.00600351       20.14407124        0.34626560
       -9.94119412       28.96186883        0.23943361        2.35882891       25.93391386        0.42969245
       -9.93999400       21.20719005        0.19307386        2.00855454       18.67502794        0.33053371
       -9.93879388       25.06943674        0.22399735        2.18927251       22.27275737        0.38340951
       -9.93759376       44.31941508        0.37713118        3.22496294       40.04815626        0.66916470
