# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the chemical potential, mu =       -4.957947 eV
#  aims_uuid : DD481180-E7BD-4871-A6C2-BEA04C886703                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
        -15.04205263         24.99720485         24.99755612
        -15.03930263         21.32493950         21.32507981
        -15.03655263         17.93009687         17.93011632
        -15.03380263         17.04743029         17.04743958
        -15.03105263         17.62070963         17.62057041
        -15.02830263         19.01221482         19.01206026
        -15.02555263         20.67004190         20.66985489
        -15.02280263         22.32786899         22.32764951
        -15.02005263         23.98569608         23.98544414
        -15.01730263         25.64352316         25.64323877
        -15.01455263         22.71562310         22.71630007
        -15.01180263         19.27201041         19.27153588
        -15.00905263         17.28124921         17.28222479
        -15.00630263         11.21266261         11.21342791
        -15.00355263          5.97514026          5.97594357
        -15.00080263          0.73761791          0.73845922
        -14.99805263          0.00000000          0.00000000
        -14.99530263          0.00000000          0.00000000
        -14.99255263          0.14959923          0.14942312
        -14.98980263          4.45082193          4.45034498
        -14.98705263         10.18406914         10.18389592
        -14.98430263         10.91419179         10.91412755
        -14.98155263         10.81660097         10.81653621
        -14.97880263         10.71901015         10.71894487
        -14.97605263         10.62141933         10.62135352
        -14.97330263         12.06111674         12.06072672
        -14.97055263         13.55758499         13.55720948
        -14.96780263         15.05405323         15.05369224
        -14.96505263         16.55052148         16.55017499
        -14.96230263         18.04698973         18.04665775
        -14.95955263         17.89784712         17.89788590
        -14.95680263         16.78720812         16.78727365
        -14.95405263         16.20940117         16.20866301
        -14.95130263         16.67600723         16.67540801
        -14.94855263         17.61678853         17.61628937
        -14.94580263         18.59722882         18.59686689
        -14.94305263         20.53608288         20.53541690
        -14.94030263         23.39317063         23.39261341
        -14.93755263         26.25025837         26.24980992
        -14.93480263         27.01386868         27.01553791
        -14.93205263         23.36781274         23.36872481
        -14.92930263         21.47669038         21.47754315
        -14.92655263         19.46504021         19.46598483
        -14.92380263         16.82214513         16.82302231
        -14.92105263         19.26923289         19.26898285
        -14.91830263         22.86539692         22.86524592
        -14.91555263         26.46156094         26.46150899
        -14.91280263         28.56885934         28.56598367
        -14.91005263         32.78469266         32.78506752
        -14.90730263         29.18711003         29.18748186
        -14.90455263         25.58952740         25.58989620
        -14.90180263         21.99194477         21.99231054
        -14.89905263         18.39436214         18.39472487
        -14.89630263         14.79677952         14.79713921
        -14.89355263         11.19919689         11.19955355
        -14.89080263         12.23634597         12.23581567
        -14.88805263         18.22597640         18.22495100
        -14.88530263         25.16935194         25.16838320
        -14.88255263         28.66836717         28.66738633
        -14.87980263         32.16738239         32.16638947
        -14.87705263         35.66639762         35.66539260
        -14.87430263         37.67373403         37.67319772
        -14.87155263         36.46837950         36.46795362
        -14.86880263         34.92564782         34.92625500
        -14.86605263         30.92207236         30.92279168
        -14.86330263         26.91849690         26.91932835
        -14.86055263         22.28812340         22.28952907
        -14.85780263         17.13520578         17.13653651
        -14.85505263         11.98228817         11.98354395
        -14.85230263         12.02379996         12.01942186
        -14.84955263         19.34481979         19.34525783
        -14.84680263         18.62687691         18.62718739
        -14.84405263         17.94414361         17.94447323
        -14.84130263         17.26141031         17.26175907
        -14.83855263         16.98594884         16.98595021
        -14.83580263         17.26724148         17.26728415
        -14.83305263         17.54853412         17.54861808
        -14.83030263         17.82982676         17.82995201
        -14.82755263         18.11111941         18.11128595
        -14.82480263         18.39241205         18.39261988
        -14.82205263         18.67370469         18.67395381
        -14.81930263         18.92037351         18.92073821
        -14.81655263         19.03370872         19.03409913
        -14.81380263         18.85851457         18.85910238
        -14.81105263         18.67059111         18.67118548
        -14.80830263         13.81689886         13.81764706
        -14.80555263         13.80287249         13.80288476
        -14.80280263         16.88782874         16.88787018
        -14.80005263         19.97582427         19.97590422
        -14.79730263         22.68308709         22.68307154
        -14.79455263         23.76644844         23.76633437
        -14.79180263         24.18039160         24.18016637
        -14.78905263         24.59433476         24.59399837
        -14.78630263         23.09691249         23.09684432
        -14.78355263         21.39033289         21.38591138
        -14.78080263         34.27730055         34.27386892
        -14.77805263         42.53404634         42.53537506
        -14.77530263         37.82777807         37.82731338
        -14.77255263         37.52483138         37.52441712
        -14.76980263         37.49552621         37.49522242
        -14.76705263         36.15908132         36.15901480
        -14.76430263         31.99033029         31.99240776
        -14.76155263         22.90421023         22.90647426
        -14.75880263         13.94112773         13.94363630
        -14.75605263          7.44798708          7.44834100
        -14.75330263          6.19179139          6.19115987
        -14.75055263          7.69597232          7.69530396
        -14.74780263          9.20015325          9.19944805
        -14.74505263         11.60118164         11.60010763
        -14.74230263         14.22579161         14.22462709
        -14.73955263         16.85040157         16.84914655
        -14.73680263         19.47501153         19.47366601
        -14.73405263         22.09962150         22.09818547
        -14.73130263         24.72423146         24.72270493
        -14.72855263         27.34884142         27.34722438
        -14.72580263         30.20296939         30.20077840
        -14.72305263         34.17769618         34.17516380
        -14.72030263         37.70146394         37.70367113
        -14.71755263         32.86399236         32.86628964
        -14.71480263         28.02652079         28.02890816
        -14.71205263         23.18904922         23.19152668
        -14.70930263         18.35157764         18.35414520
        -14.70655263         13.51410607         13.51676371
        -14.70380263          8.67663450          8.67938223
        -14.70105263          5.92255021          5.92412133
        -14.69830263          4.30948342          4.30953724
        -14.69555263          4.52338629          4.52344701
        -14.69280263          4.73728916          4.73735679
        -14.69005263          4.95119203          4.95126656
        -14.68730263         15.41442389         15.41438240
        -14.68455263         23.96128925         23.96103738
        -14.68180263         37.86160203         37.86081212
        -14.67905263         35.93130228         35.93050888
        -14.67630263         34.00100252         34.00020564
        -14.67355263         32.07070276         32.06990240
        -14.67080263         30.04621894         30.04548415
        -14.66805263         27.04649821         27.04598049
        -14.66530263         28.96009678         28.95895095
        -14.66255263         28.49865652         28.49830786
        -14.65980263         42.70241957         42.69809701
        -14.65705263         64.35805636         64.35096432
        -14.65430263         44.10228168         44.10137492
        -14.65155263         43.74966822         43.74875828
        -14.64880263         43.69387403         43.69230562
        -14.64605263         40.37950225         40.38251181
        -14.64330263         27.66329362         27.66714148
        -14.64055263         18.12385493         18.12427472
        -14.63780263         15.49780572         15.49714652
        -14.63505263         16.99636570         16.99586991
        -14.63230263         18.49492568         18.49459329
        -14.62955263         20.71628796         20.71522024
        -14.62680263         24.72233523         24.72186181
        -14.62405263         28.72838251         28.72850337
        -14.62130263         17.17858134         17.18209510
        -14.61855263          7.10971920          7.11020545
        -14.61580263          6.70283701          6.70281079
        -14.61305263          7.77017546          7.76958546
        -14.61030263          9.31723584          9.31662182
        -14.60755263         10.86429622         10.86365818
        -14.60480263         12.41135660         12.41069454
        -14.60205263         13.95841698         13.95773090
        -14.59930263         15.50547737         15.50476726
        -14.59655263         17.05253775         17.05180363
        -14.59380263         19.21262380         19.21060097
        -14.59105263         22.51901163         22.51720078
        -14.58830263         25.82539946         25.82380060
        -14.58555263         27.49609103         27.49689932
        -14.58280263         24.49769472         24.49991467
        -14.58005263         21.49929840         21.50293003
        -14.57730263         22.41301338         22.41281710
        -14.57455263         24.35773910         24.35801903
        -14.57180263         26.30246482         26.30322095
        -14.56905263         28.24719054         28.24842288
        -14.56630263         37.39514017         37.39702725
        -14.56355263         39.24419999         39.24443833
        -14.56080263         35.57368366         35.57357973
        -14.55805263         32.16834838         32.16830641
        -14.55530263         28.76301310         28.76303310
        -14.55255263         25.35767782         25.35775978
        -14.54980263         27.65365608         27.65332003
        -14.54705263         31.48692510         31.48635868
        -14.54430263         21.07181022         21.06567627
        -14.54155263         22.17471372         22.17383363
        -14.53880263         20.42004218         20.41957461
        -14.53605263         21.67511383         21.67193363
        -14.53330263         47.94113589         47.91506185
        -14.53055263         60.61717122         60.62103409
