#  aims_uuid : DD481180-E7BD-4871-A6C2-BEA04C886703                                
# spin_dn angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.957947 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -15.04205263       22.46545414       21.59471038        0.86115106        0.01189619        0.00092777       -0.00323126
      -15.03930263       19.16585740       18.42037156        0.73702912        0.01039953        0.00080664       -0.00274946
      -15.03655263       16.11473073       15.48769567        0.61985879        0.00881091        0.00067898       -0.00231362
      -15.03380263       15.32171649       14.72355787        0.59105405        0.00863259        0.00066122       -0.00218923
      -15.03105263       15.83732983       15.21605845        0.61354310        0.00926949        0.00070593       -0.00224713
      -15.02830263       17.08867980       16.41484517        0.66507257        0.01038216        0.00078715       -0.00240726
      -15.02555263       18.57948564       17.84335617        0.72617475        0.01167296        0.00088172       -0.00259995
      -15.02280263       20.07027072       19.27179647        0.78729969        0.01298898        0.00097753       -0.00279194
      -15.02005263       21.56103504       20.70016607        0.84844738        0.01433022        0.00107459       -0.00298323
      -15.01730263       23.05177860       22.12846498        0.90961785        0.01569669        0.00117289       -0.00317381
      -15.01455263       20.42044776       19.60094273        0.80705644        0.01419190        0.00105594       -0.00279924
      -15.01180263       17.32376650       16.62734555        0.68565610        0.01222481        0.00090725       -0.00236721
      -15.00905263       15.53547261       14.90968116        0.61586431        0.01121147        0.00082823       -0.00211256
      -15.00630263       10.07985850        9.67381687        0.39951230        0.00735568        0.00054151       -0.00136786
      -15.00355263        5.37173491        5.15536326        0.21285378        0.00395532        0.00029037       -0.00072782
      -15.00080263        0.66378380        0.63704868        0.02629569        0.00049313        0.00003610       -0.00008980
      -14.99805263        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.99530263        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.99255263        0.13449809        0.12910400        0.00531712        0.00009028        0.00000691       -0.00002023
      -14.98980263        4.00593755        3.84485479        0.15872924        0.00274539        0.00020828       -0.00060015
      -14.98705263        9.16891389        8.79840431        0.36507513        0.00632858        0.00048531       -0.00137945
      -14.98430263        9.82712177        9.42918742        0.39203906        0.00685062        0.00052494       -0.00148026
      -14.98155263        9.73973994        9.34471836        0.38910263        0.00686256        0.00052429       -0.00146789
      -14.97880263        9.65234185        9.26024044        0.38615886        0.00687436        0.00052362       -0.00145543
      -14.97605263        9.56492750        9.17575367        0.38320776        0.00688601        0.00052294       -0.00144288
      -14.97330263       10.86096186       10.41901623        0.43508576        0.00790234        0.00059468       -0.00163715
      -14.97055263       12.20868929       11.71160838        0.48927890        0.00897124        0.00067075       -0.00183999
      -14.96780263       13.55670940       13.00419414        0.54375480        0.01005567        0.00074849       -0.00204370
      -14.96505263       14.90502219       14.29677352        0.59851345        0.01115562        0.00082791       -0.00224831
      -14.96230263       16.25362767       15.58934653        0.65355486        0.01227108        0.00090899       -0.00245380
      -14.95955263       16.12055210       15.46043235        0.64934703        0.01229797        0.00090982       -0.00243507
      -14.95680263       15.12112578       14.50055512        0.61032621        0.01166712        0.00086241       -0.00228507
      -14.95405263       14.60088284       14.00111991        0.58986366        0.01127854        0.00083622       -0.00221549
      -14.95130263       15.02242237       14.40590883        0.60650666        0.01145102        0.00085646       -0.00230060
      -14.94855263       15.87179921       15.21987722        0.64144330        0.01202044        0.00090719       -0.00244893
      -14.94580263       16.75721534       16.06738865        0.67873508        0.01272264        0.00096629       -0.00259732
      -14.94305263       18.50577779       17.74150123        0.75183006        0.01423439        0.00108210       -0.00286998
      -14.94030263       21.08239180       20.20814725        0.85970572        0.01654649        0.00125492       -0.00326257
      -14.93755263       23.65968117       22.67388497        0.96901784        0.01899200        0.00143717       -0.00365081
      -14.93480263       24.35229795       23.33232198        1.00215280        0.02005392        0.00151323       -0.00374398
      -14.93205263       21.06736495       20.18063423        0.87081602        0.01780360        0.00133992       -0.00322882
      -14.92930263       19.36446494       18.54589215        0.80351015        0.01676372        0.00125721       -0.00295830
      -14.92655263       17.55194424       16.80642039        0.73132361        0.01569506        0.00116648       -0.00266130
      -14.92380263       15.16923424       14.52133582        0.63498389        0.01414975        0.00103599       -0.00227121
      -14.92105263       17.37443361       16.62808238        0.73079600        0.01690224        0.00121915       -0.00256616
      -14.91830263       20.61666341       19.72582992        0.87146664        0.02088425        0.00148594       -0.00300335
      -14.91555263       23.85875103       22.82162674        1.01363327        0.02515070        0.00176631       -0.00342600
      -14.91280263       25.75599660       24.63038352        1.09922295        0.02809098        0.00195244       -0.00365328
      -14.91005263       29.56138445       28.26729253        1.26349273        0.03253231        0.00226126       -0.00419438
      -14.90730263       26.31917307       25.16442596        1.12716251        0.02928466        0.00203150       -0.00373158
      -14.90455263       23.07655911       22.06183215        0.99024360        0.02595568        0.00179732       -0.00326962
      -14.90180263       19.83354260       18.95951108        0.85273598        0.02254535        0.00155871       -0.00280851
      -14.89905263       16.59012352       15.85746275        0.71463966        0.01905367        0.00131567       -0.00234823
      -14.89630263       13.34630188       12.75568718        0.57595464        0.01548064        0.00106821       -0.00188880
      -14.89355263       10.10207767        9.65418436        0.43668093        0.01182627        0.00081633       -0.00143022
      -14.89080263       11.03962209       10.54840372        0.47903290        0.01286869        0.00089499       -0.00157820
      -14.88805263       16.44642018       15.71342406        0.71510221        0.01895026        0.00131960       -0.00237594
      -14.88530263       22.71165086       21.69936253        0.98736649        0.02637837        0.00182349       -0.00328001
      -14.88255263       25.86834562       24.71486529        1.12474246        0.03038150        0.00208499       -0.00372862
      -14.87980263       29.02520265       27.73012884        1.26245901        0.03444407        0.00234685       -0.00417613
      -14.87705263       32.18222195       30.74515320        1.40051615        0.03856608        0.00260908       -0.00462256
      -14.87430263       33.99402601       32.47476715        1.48027250        0.04110194        0.00276243       -0.00487802
      -14.87155263       32.90714263       31.43514358        1.43392771        0.04011457        0.00267989       -0.00472313
      -14.86880263       31.51688137       30.10539773        1.37466496        0.03876969        0.00257153       -0.00452253
      -14.86605263       27.90554855       26.65329918        1.21922808        0.03473681        0.00228184       -0.00399737
      -14.86330263       24.29391410       23.20141402        1.06336446        0.03061534        0.00199354       -0.00347326
      -14.86055263       20.11715223       19.20984278        0.88281318        0.02570421        0.00166149       -0.00286942
      -14.85780263       15.46723197       14.76740728        0.68062262        0.02010649        0.00129241       -0.00219683
      -14.85505263       10.81565800       10.32507275        0.47677956        0.01440415        0.00092382       -0.00152228
      -14.85230263       10.84695004       10.35690867        0.47630182        0.01435784        0.00091810       -0.00153639
      -14.84955263       17.46205833       16.67415403        0.76638520        0.02260176        0.00143579       -0.00251845
      -14.84680263       16.81424058       16.05386104        0.73931948        0.02207934        0.00139700       -0.00241629
      -14.84405263       16.19828924       15.46402620        0.71362856        0.02159201        0.00136081       -0.00231834
      -14.84130263       15.58227284       14.87418526        0.68788564        0.02109739        0.00132459       -0.00222004
      -14.83855263       15.33360571       14.63505949        0.67831951        0.02108290        0.00131851       -0.00217470
      -14.83580263       15.58791729       14.87593205        0.69105899        0.02177078        0.00135576       -0.00220030
      -14.83305263       15.84212551       15.11650309        0.70393896        0.02251079        0.00139587       -0.00222320
      -14.83030263       16.09623038       15.35677260        0.71695941        0.02330293        0.00143884       -0.00224340
      -14.82755263       16.35023189       15.59674057        0.73012034        0.02414719        0.00148467       -0.00226088
      -14.82480263       16.60413004       15.83640702        0.74342174        0.02504358        0.00153336       -0.00227566
      -14.82205263       16.85792484       16.07577193        0.75686363        0.02599210        0.00158490       -0.00228773
      -14.81930263       17.08040662       16.28504969        0.76906088        0.02695174        0.00163675       -0.00229243
      -14.81655263       17.18230104       16.37908511        0.77602180        0.02779056        0.00168081       -0.00227724
      -14.81380263       17.02381074       16.22453611        0.77150422        0.02828981        0.00170389       -0.00222329
      -14.81105263       16.85358499       16.05853613        0.76665837        0.02882586        0.00172939       -0.00216477
      -14.80830263       12.47252442       11.88427745        0.56722405        0.02134755        0.00128043       -0.00160506
      -14.80555263       12.45936011       11.86958804        0.56835330        0.02170614        0.00130334       -0.00159070
      -14.80280263       15.24435417       14.51960759        0.69793403        0.02711251        0.00162686       -0.00192682
      -14.80005263       18.03334857       17.17291480        0.82830957        0.03244630        0.00195132       -0.00227342
      -14.79730263       20.47946229       19.49945543        0.94327794        0.03707677        0.00223836       -0.00258621
      -14.79455263       21.45865338       20.43044501        0.98956438        0.03900383        0.00235331       -0.00271313
      -14.79180263       21.83265633       20.78606312        1.00712757        0.03983163        0.00239411       -0.00276011
      -14.78905263       22.20628424       21.14176951        1.02423859        0.04065080        0.00243121       -0.00280588
      -14.78630263       20.85514892       19.85579516        0.96159806        0.03812968        0.00227119       -0.00264516
      -14.78355263       19.31385848       18.38864225        0.89075339        0.03487830        0.00207283       -0.00248829
      -14.78080263       30.97165096       29.48801735        1.43078721        0.05384130        0.00316324       -0.00415815
      -14.77805263       38.42992232       36.58933940        1.77344159        0.06826193        0.00396364       -0.00508424
      -14.77530263       34.18073580       32.54278728        1.57869363        0.06031822        0.00350385       -0.00456717
      -14.77255263       33.90939771       32.28334406        1.56726558        0.05987417        0.00346327       -0.00454937
      -14.76980263       33.88341383       32.25750651        1.56684893        0.06014033        0.00346317       -0.00454512
      -14.76705263       32.67836627       31.10954281        1.51194915        0.05795384        0.00332681       -0.00440634
      -14.76430263       28.91542794       27.52714969        1.33819293        0.05108566        0.00292880       -0.00392915
      -14.76155263       20.70360482       19.70940195        0.95823985        0.03667747        0.00210591       -0.00282035
      -14.75880263       12.60531731       11.99906132        0.58455070        0.02216689        0.00127851       -0.00174011
      -14.75605263        6.73685431        6.41161901        0.31393949        0.01157790        0.00067585       -0.00095794
      -14.75330263        5.59868539        5.32853720        0.26059445        0.00976975        0.00057414       -0.00079014
      -14.75055263        6.95889137        6.62285302        0.32407264        0.01223328        0.00071300       -0.00098057
      -14.74780263        8.31911985        7.91703885        0.38766178        0.01473736        0.00085201       -0.00117015
      -14.74505263       10.48983945        9.98236308        0.48908954        0.01877793        0.00107686       -0.00146795
      -14.74230263       12.86310252       12.24015908        0.60017329        0.02324101        0.00132232       -0.00179318
      -14.73955263       15.23655141       14.49784297        0.71150627        0.02775398        0.00156689       -0.00211870
      -14.73680263       17.61018610       16.75541474        0.82308845        0.03231684        0.00181058       -0.00244452
      -14.73405263       19.98400659       19.01287440        0.93491986        0.03692961        0.00205338       -0.00277065
      -14.73130263       22.35801290       21.27022194        1.04700047        0.04159227        0.00229529       -0.00309707
      -14.72855263       24.73220501       23.52745736        1.15933030        0.04630483        0.00253631       -0.00342379
      -14.72580263       27.31367593       25.98171519        1.28150990        0.05143469        0.00279682       -0.00378066
      -14.72305263       30.90993918       29.39988708        1.45254988        0.05861751        0.00316034       -0.00427563
      -14.72030263       34.10342555       32.43442397        1.60514898        0.06507829        0.00349168       -0.00471737
      -14.71755263       29.72889812       28.27226518        1.40063941        0.05704394        0.00306473       -0.00411515
      -14.71480263       25.35374711       24.10999811        1.19564535        0.04897588        0.00263618       -0.00350839
      -14.71205263       20.97797253       19.94762275        0.99016678        0.04087409        0.00220602       -0.00289711
      -14.70930263       16.60157436       15.78513910        0.78420371        0.03273859        0.00177426       -0.00228129
      -14.70655263       12.22455262       11.62254717        0.57775613        0.02456938        0.00134089       -0.00166095
      -14.70380263        7.84690729        7.45984695        0.37082406        0.01636644        0.00090592       -0.00103608
      -14.70105263        5.35297880        5.08765492        0.25338805        0.01193832        0.00066241       -0.00066491
      -14.69830263        3.89110315        3.69652466        0.18493844        0.00955069        0.00052424       -0.00043488
      -14.69555263        4.08426663        3.87955966        0.19447035        0.01013428        0.00055542       -0.00045309
      -14.69280263        4.27743230        4.06255239        0.20403557        0.01072823        0.00058709       -0.00047097
      -14.69005263        4.47060018        4.24550283        0.21363411        0.01133254        0.00061925       -0.00048854
      -14.68730263       13.91855325       13.21501643        0.66724860        0.03584387        0.00194643       -0.00150209
      -14.68455263       21.63970741       20.54362321        1.03971099        0.05572259        0.00300574       -0.00235511
      -14.68180263       34.20047203       32.46429926        1.64731627        0.08792042        0.00469985       -0.00376376
      -14.67905263       32.45991947       30.81197824        1.56397468        0.08314618        0.00442234       -0.00360196
      -14.67630263       30.71978529       29.15992823        1.48083206        0.07832673        0.00414036       -0.00344208
      -14.67355263       28.98006947       27.50814923        1.39788839        0.07346207        0.00385390       -0.00328412
      -14.67080263       27.15576383       25.77593404        1.31106221        0.06833495        0.00355121       -0.00311858
      -14.66805263       24.44996819       23.20697777        1.18169349        0.06100983        0.00313621       -0.00284911
      -14.66530263       26.17945174       24.84923005        1.26461379        0.06530678        0.00336145       -0.00306033
      -14.66255263       25.76366142       24.45505770        1.24413038        0.06419210        0.00330775       -0.00302651
      -14.65980263       38.58244049       36.62723179        1.85608861        0.09842083        0.00509226       -0.00439299
      -14.65705263       58.13350820       55.19396147        2.78897395        0.14937688        0.00774247       -0.00654656
      -14.65430263       39.83881049       37.82404601        1.91091404        0.10305336        0.00526357       -0.00446650
      -14.65155263       39.52017633       37.52156024        1.89536801        0.10250327        0.00517865       -0.00443383
      -14.64880263       39.46958300       37.47343938        1.89290387        0.10254380        0.00513610       -0.00444015
      -14.64605263       36.48563698       34.63916562        1.75175995        0.09420385        0.00467382       -0.00416627
      -14.64330263       25.00226133       23.73578732        1.20215903        0.06408110        0.00313629       -0.00290240
      -14.64055263       16.37635435       15.54724763        0.78658768        0.04233697        0.00207080       -0.00188873
      -14.63780263       14.00539916       13.29565593        0.67372557        0.03591557        0.00174819       -0.00164610
      -14.63505263       15.37098897       14.58646326        0.74551651        0.03901631        0.00185424       -0.00186135
      -14.63230263       16.73581788       15.87660224        0.81706373        0.04225262        0.00196560       -0.00206632
      -14.62955263       18.75263903       17.78547122        0.91999103        0.04736039        0.00214971       -0.00233331
      -14.62680263       22.38362292       21.22556001        1.10128270        0.05703618        0.00250963       -0.00276560
      -14.62405263       26.01249766       24.66336806        1.28222526        0.06719737        0.00287755       -0.00317059
      -14.62130263       15.55453361       14.74600713        0.76729441        0.04133700        0.00173528       -0.00184020
      -14.61855263        6.43573985        6.10341806        0.31574981        0.01660113        0.00076394       -0.00079309
      -14.61580263        6.06666694        5.75266701        0.29804405        0.01596078        0.00072792       -0.00073281
      -14.61305263        7.03179501        6.66732502        0.34571038        0.01875289        0.00084508       -0.00083837
      -14.61030263        8.43117831        7.99422397        0.41430884        0.02263005        0.00101687       -0.00100142
      -14.60755263        9.83036964        9.32091621        0.48286024        0.02656536        0.00119046       -0.00116263
