#  aims_uuid : 13283E5B-4485-4746-A4BC-83A6F109C83C                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        7.97803692        0.17570173        0.88662171        6.72611932        0.18959416
       -9.99000000        4.93302763        0.10304052        0.68731140        4.00052215        0.14215355
       -9.98000000        7.44299143        0.18928666        1.96135937        5.04888806        0.24345735
       -9.97000000        0.86267369        0.02141138        0.17986963        0.63900900        0.02238368
       -9.96000000        7.75680925        0.07139297        1.04555285        6.46370317        0.17616027
       -9.95000000       28.85719962        0.12131232        2.47315664       25.74521379        0.51751687
       -9.94000000       14.55992396        0.07288783        0.88449531       13.34559106        0.25694976
       -9.93000000        4.55118956        0.05517923        0.63398229        3.70018091        0.16184713
       -9.92000000        4.57439364        0.05253872        0.55398335        3.77520913        0.19266244
       -9.91000000        4.78344295        0.04956113        0.47481432        4.03367827        0.22538923
       -9.90000000        5.03702474        0.04612715        0.39484406        4.33934909        0.25670444
       -9.89000000        3.54438664        0.02861170        0.24712184        3.10814906        0.16050404
       -9.88000000        2.23476987        0.01881473        0.17297444        1.98803151        0.05494920
       -9.87000000        2.71060871        0.02328586        0.20309895        2.41801878        0.06620511
       -9.86000000        3.19197631        0.02804563        0.23235368        2.85410552        0.07747148
       -9.85000000        3.67887269        0.03309405        0.26073861        3.29629171        0.08874833
       -9.84000000        4.17129784        0.03843110        0.28825374        3.74457736        0.10003563
       -9.83000000        8.34813604        0.07888142        0.39837124        7.72712986        0.14375353
       -9.82000000        9.10274836        0.20244525        1.54221220        7.09046091        0.26763000
       -9.81000000        7.63761727        0.16871131        1.45173080        5.76055464        0.25662052
       -9.80000000        4.87431937        0.07602308        0.68781755        3.94277234        0.16770640
       -9.79000000        7.84614332        0.21801190        2.29133212        5.06396650        0.27283281
       -9.78000000        5.39542787        0.11588262        1.30974380        3.79946332        0.17033813
       -9.77000000        5.55767654        0.09147985        1.15420295        4.14774114        0.16425259
       -9.76000000        7.27401457        0.11123415        1.42475554        5.52812497        0.20989991
       -9.75000000        6.87167546        0.08121498        1.02465791        5.56738304        0.19841953
       -9.74000000        5.66201219        0.04850981        0.58814428        4.85679429        0.16856380
       -9.73000000        4.79152799        0.02096761        0.22039055        4.40462116        0.14554867
       -9.72000000        2.25839909        0.00341922        0.03573583        2.17038443        0.04885961
       -9.71000000        0.33424165        0.00164310        0.01869895        0.31076446        0.00313514
       -9.70000000        6.65285242        0.05252388        0.52123887        5.82493664        0.25415302
       -9.69000000        6.80147956        0.03617731        0.33766896        6.06117912        0.36645417
       -9.68000000        4.67668846        0.04498450        0.50034862        3.98411112        0.14724422
       -9.67000000        6.02096938        0.05193229        0.58326446        5.20469706        0.18107557
       -9.66000000        7.41999381        0.05316943        0.59747274        6.55022884        0.21912280
       -9.65000000        6.51925350        0.04997319        0.55852288        5.71685931        0.19389812
       -9.64000000        5.71862158        0.04894595        0.54246292        4.96252093        0.16469178
       -9.63000000        5.93816467        0.05091079        0.56644822        5.15210440        0.16870126
       -9.62000000        6.14985205        0.05289667        0.59167376        5.33194405        0.17333758
       -9.61000000        6.35368372        0.05490358        0.61813954        5.50203986        0.17860074
       -9.60000000        4.74770655        0.03009394        0.35761510        4.24118856        0.11880896
       -9.59000000        4.02839199        0.03024113        0.36066521        3.54233015        0.09515550
       -9.58000000        3.96005074        0.03133648        0.37618914        3.46197108        0.09055404
       -9.57000000        3.88980709        0.03265667        0.39458662        3.37679707        0.08576674
       -9.56000000        4.35500492        0.03797905        0.43655117        3.76247111        0.11800358
       -9.55000000        6.14890133        0.07012591        0.75037941        5.14034933        0.18804669
       -9.54000000       13.76784446        0.11139601        1.10761252       12.30632750        0.24250844
       -9.53000000        4.56492685        0.07030350        0.69027132        3.64599164        0.15836039
       -9.52000000        3.36041379        0.04478486        0.50108955        2.70614088        0.10839850
       -9.51000000        3.32903784        0.04415862        0.50172119        2.67984682        0.10331121
       -9.50000000        7.69679135        0.05748149        0.59484366        6.89957796        0.14488824
       -9.49000000        5.44040086        0.03520042        0.28785449        4.98207701        0.13526894
       -9.48000000        4.72979644        0.03497280        0.29027332        4.27044040        0.13410993
       -9.47000000       11.99324413        0.18417248        1.58548756        9.80241852        0.42116558
       -9.46000000       82.14518695        0.94161138        7.09476834       72.57294821        1.53585902
       -9.45000000        8.74775689        0.09848963        0.88446345        7.55206760        0.21273621
       -9.44000000       11.48089402        0.12437115        1.26510265        9.79703971        0.29438050
       -9.43000000       13.74548367        0.12689993        1.05090143       12.23297568        0.33470662
       -9.42000000       13.27350678        0.19495213        1.66182039       11.03160220        0.38513206
       -9.41000000        7.00260887        0.08100461        0.64468807        6.08004028        0.19687591
       -9.40000000        3.68952987        0.02797212        0.22129949        3.34083340        0.09942487
       -9.39000000        1.65846849        0.00678514        0.05522802        1.55350383        0.04295149
       -9.38000000        6.07542474        0.11572487        0.92700666        4.80822867        0.22446454
       -9.37000000        3.17066534        0.08672164        0.77420419        2.17676033        0.13297917
       -9.36000000        0.59013516        0.00997418        0.09643567        0.46344091        0.02028439
       -9.35000000        4.69127281        0.02716846        0.28622148        4.27407949        0.10380337
       -9.34000000       10.84044243        0.07730450        0.78812429        9.69669983        0.27831381
       -9.33000000       11.62493285        0.16499776        1.55602911        9.49686826        0.40703773
       -9.32000000        4.17780347        0.09520080        0.84435017        3.10024957        0.13800293
       -9.31000000        1.41746644        0.03319253        0.31065784        1.02655440        0.04706167
       -9.30000000        1.29053866        0.02840263        0.27599246        0.94409400        0.04204958
       -9.29000000        1.16150175        0.02395208        0.24233103        0.85808047        0.03713817
       -9.28000000        2.36862686        0.02352179        0.26232987        1.98261824        0.10015697
       -9.27000000        2.77843569        0.02126962        0.25256882        2.39720196        0.10739529
       -9.26000000        7.45279336        0.02685540        0.37254961        6.83750056        0.21588779
       -9.25000000       10.56405451        0.03247783        0.46329274        9.79805974        0.27022420
       -9.24000000       12.68079847        0.03802219        0.53934619       11.80270438        0.30072572
       -9.23000000        9.20507104        0.03022207        0.40769687        8.55749396        0.20965813
       -9.22000000        5.95629350        0.02564584        0.32374534        5.44958294        0.15731939
       -9.21000000        6.02229228        0.03107859        0.37570733        5.45227197        0.16323439
       -9.20000000        6.19105261        0.03860684        0.44773462        5.53340294        0.17130822
       -9.19000000        7.50358966        0.09121694        0.85355049        6.33441495        0.22440728
       -9.18000000        5.88874151        0.11527430        1.02387393        4.55820750        0.19138577
       -9.17000000        6.25993622        0.11763002        1.06461773        4.87037536        0.20731312
       -9.16000000        6.77920830        0.11632857        1.09157602        5.34490511        0.22639861
       -9.15000000        7.38435766        0.11235956        1.11144328        5.91299324        0.24756159
       -9.14000000        9.74003157        0.13095594        1.40618383        7.87736765        0.32552416
       -9.13000000       10.53020110        0.14928599        1.44419097        8.62909820        0.30762594
       -9.12000000        8.98589074        0.17124824        1.42570209        7.11559038        0.27335003
       -9.11000000       16.67434019        0.22525178        2.05022018       13.86077626        0.53809197
       -9.10000000        9.12674623        0.10647975        1.07974208        7.65424105        0.28628335
       -9.09000000        6.80568410        0.05621182        0.67120950        5.87622785        0.20203492
       -9.08000000        6.36847150        0.02917564        0.38773522        5.77630523        0.17525542
       -9.07000000        5.77224179        0.01962550        0.30876428        5.27606205        0.16778997
       -9.06000000       14.50355943        0.07724176        1.10383163       12.83006111        0.49242493
       -9.05000000        8.11350344        0.04585406        0.77475435        7.02472895        0.26816608
       -9.04000000        7.94937151        0.04427336        0.82253891        6.81927227        0.26328698
       -9.03000000       13.00108985        0.08509425        1.42541797       11.02483004        0.46574760
       -9.02000000        8.71224545        0.06413968        0.99909777        7.25732538        0.39168262
       -9.01000000       10.82630997        0.12888393        1.54122816        8.67935212        0.47684576
       -9.00000000        9.65740628        0.15290631        1.61147485        7.47306924        0.41995589
       -8.99000000        6.27363222        0.10883401        1.06881147        4.82061577        0.27537097
       -8.98000000       11.39956725        0.15781784        1.63615367        9.20450417        0.40109157
       -8.97000000       21.92738249        0.41961834        3.99813060       16.62128458        0.88834896
       -8.96000000        8.79255339        0.12024558        1.38591056        6.95031059        0.33608666
       -8.95000000        8.44752859        0.14990833        1.49904443        6.45524707        0.34332877
       -8.94000000        7.45074658        0.12158538        1.31294651        5.69661575        0.31959895
       -8.93000000        9.29925635        0.12363369        1.56887669        7.20494059        0.40180538
       -8.92000000        9.89515481        0.09595003        1.50356238        7.88892452        0.40671788
       -8.91000000       12.52125530        0.10486048        1.75762732       10.16872920        0.49003830
       -8.90000000        9.69667554        0.04917360        1.26614077        8.02195087        0.35941029
       -8.89000000       10.93713876        0.03886332        1.40740551        9.07762720        0.41324273
       -8.88000000       13.28161809        0.04503115        1.75927594       10.96097252        0.51633848
       -8.87000000       14.12820635        0.04060601        1.88886677       11.66935630        0.52937727
       -8.86000000       13.46771693        0.03870510        1.81359527       11.11222919        0.50318736
