#  aims_uuid : 90B633B6-A288-4510-AC7D-532118AF5B3C                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.170790 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.82921031       16.32103993        0.30319880       15.34374653        0.59857227        0.07552234
       -4.81921031       13.19226779        0.23685827       12.38548788        0.50104693        0.06887470
       -4.80921031       12.82567397        0.24565193       11.97647720        0.52933323        0.07421162
       -4.79921031       11.71501814        0.20752933       10.95324402        0.48216620        0.07207859
       -4.78921031       11.83446907        0.18931717       10.98299434        0.56197220        0.10018536
       -4.77921031       12.35329037        0.17494764       11.55294839        0.53807194        0.08732240
       -4.76921031        9.85427129        0.14489146        9.19774693        0.43871098        0.07292194
       -4.75921031        7.61710936        0.11723888        7.08378601        0.35540854        0.06067593
       -4.74921031        7.93399464        0.12316498        7.21652356        0.49678184        0.09752426
       -4.73921031        4.46287254        0.08301179        4.07720817        0.25799862        0.04465396
       -4.72921031       16.86151734        0.31627573       15.69655296        0.78187101        0.06681765
       -4.71921031       22.55020151        0.69087194       20.47594177        1.24013798        0.14324982
       -4.70921031       16.82334391        0.41937377       15.43325781        0.83840836        0.13230397
       -4.69921031       15.31163568        0.28164137       14.00141383        0.89376927        0.13481121
       -4.68921031       39.64861652        0.39673661       36.57252295        2.25269841        0.42665855
       -4.67921031        7.16764307        0.11929343        6.53792862        0.46014426        0.05027677
       -4.66921031        7.28296530        0.11878222        6.71019160        0.40398756        0.05000393
       -4.65921031        7.72161911        0.12579730        7.16912745        0.37408278        0.05261158
       -4.64921031        8.14591438        0.13028458        7.60981647        0.35007876        0.05573457
       -4.63921031        8.55585109        0.13224406        8.03225863        0.33197552        0.05937288
       -4.62921031        8.95142926        0.13167574        8.43645395        0.31977304        0.06352653
       -4.61921031        2.63547023        0.06208891        2.37696231        0.17086145        0.02555757
       -4.60921031        3.10683005        0.06981755        2.80151973        0.20390079        0.03159198
       -4.59921031        3.57128504        0.07631901        3.21967060        0.23727458        0.03802086
       -4.58921031        4.02883520        0.08159326        3.63141492        0.27098281        0.04484421
       -4.57921031        4.47948054        0.08564033        4.03675270        0.30502550        0.05206201
       -4.56921031       10.68701923        0.15351304        9.46169843        0.88146212        0.19034563
       -4.55921031        9.67721580        0.18030456        8.65179991        0.71180863        0.13330270
       -4.54921031        7.79170056        0.14864406        7.01786351        0.53327321        0.09191978
       -4.53921031       13.12202097        0.33206293       11.82505979        0.85164209        0.11325615
       -4.52921031       31.68251659        0.79901696       28.40037611        2.25528200        0.22784153
       -4.51921031       19.18146585        0.26878341       17.08734960        1.66478316        0.16054967
       -4.50921031       11.47318275        0.17085424       10.34886723        0.85506092        0.09840036
       -4.49921031       10.64267446        0.13932154        9.64265751        0.76953173        0.09116368
       -4.48921031        9.86158006        0.11388291        8.97315185        0.69033771        0.08420760
       -4.47921031        8.26906991        0.08727721        7.54452524        0.56899553        0.06827192
       -4.46921031        8.07884890        0.08018330        7.40635523        0.52675733        0.06555304
       -4.45921031        7.20433132        0.07097540        6.63280341        0.44605713        0.05449538
       -4.44921031       21.40960023        0.23931778       19.60541656        1.41087181        0.15399408
       -4.43921031       19.27183225        0.18394943       18.22708431        0.71793281        0.14286570
       -4.42921031        5.07061933        0.03917209        4.68392468        0.29514761        0.05237495
       -4.41921031        6.16694553        0.04999902        5.68185825        0.36869629        0.06639196
       -4.40921031        7.28111464        0.06698300        6.68621728        0.44881331        0.07910106
       -4.39921031        8.41312666        0.09012401        7.69700176        0.53549867        0.09050222
       -4.38921031        9.56298158        0.11942206        8.71421169        0.62875236        0.10059547
       -4.37921031        6.52207066        0.06016437        5.96045472        0.42561915        0.07583242
       -4.36921031        6.69888503        0.06387633        6.10960096        0.44671862        0.07868913
       -4.35921031        6.88134962        0.06852132        6.26289902        0.46861761        0.08131167
       -4.34921031        7.06946446        0.07409935        6.42034893        0.49131614        0.08370004
       -4.33921031        7.26322953        0.08061041        6.58195066        0.51481420        0.08585425
       -4.32921031        7.46264483        0.08805451        6.74770423        0.53911179        0.08777429
       -4.31921031        5.64763296        0.04799376        5.09952329        0.42591788        0.07419802
       -4.30921031        5.54207915        0.04573077        4.99425753        0.42793993        0.07415091
       -4.29921031        5.43925085        0.04332981        4.89184950        0.42999954        0.07407199
       -4.28921031        5.33914807        0.04079089        4.79229920        0.43209671        0.07396126
       -4.27921031        5.24177080        0.03811399        4.69560663        0.43423145        0.07381873
       -4.26921031        3.44061057        0.03258488        3.08879391        0.28851264        0.03071913
       -4.25921031        3.80896599        0.03069619        3.41371653        0.32455783        0.03999545
       -4.24921031        6.76583556        0.03270914        6.02187150        0.62635111        0.08490381
       -4.23921031       53.04075079        0.12630179       47.10455528        4.71273662        1.09715710
       -4.22921031        6.71754765        0.05405534        6.13475517        0.42444309        0.10429404
       -4.21921031       12.14110214        0.13058132       11.23196233        0.62027700        0.15828148
       -4.20921031       38.92892474        0.77903700       35.24041988        2.49605795        0.41340991
       -4.19921031       34.32747586        0.56613515       30.83516228        2.59250468        0.33367375
       -4.18921031        9.65917153        0.14355674        8.73509102        0.68755068        0.09297309
       -4.17921031       17.77940920        0.23494164       15.95536935        1.41311484        0.17598337
       -4.16921031       22.80752650        0.24089982       20.63802879        1.69137491        0.23722299
       -4.15921031       15.62547868        0.09016397       14.25549905        1.09653832        0.18327734
       -4.14921031        8.12903335        0.04900116        7.46199324        0.51761474        0.10042422
       -4.13921031        4.87783178        0.02539711        4.51041120        0.27904571        0.06297777
       -4.12921031        1.68907683        0.00581883        1.56653209        0.09488427        0.02184164
       -4.11921031        2.89897818        0.01160534        2.68679952        0.15993897        0.04063434
       -4.10921031        5.88795443        0.02446313        5.41470302        0.35806234        0.09072594
       -4.09921031        8.64623633        0.03350536        7.86905674        0.59923595        0.14443828
       -4.08921031       11.17382388        0.03873202       10.04986069        0.88345980        0.20177138
       -4.07921031        7.25260932        0.04047965        6.47503131        0.62960703        0.10749133
       -4.06921031        8.06274134        0.05754599        7.14304500        0.75853611        0.10361424
       -4.05921031        3.39689625        0.02596406        3.12747447        0.21189227        0.03156544
       -4.04921031        3.51390181        0.02584342        3.24382862        0.21117955        0.03305023
       -4.03921031        3.60789982        0.02534265        3.33536584        0.21229463        0.03489669
       -4.02921031        3.67889027        0.02446176        3.40208615        0.21523752        0.03710484
       -4.01921031        6.02164516        0.03968387        5.64418190        0.27662217        0.06115722
       -4.00921031        6.50255759        0.03946539        6.08039171        0.31106156        0.07163892
       -3.99921031        9.24951441        0.04113785        8.54573706        0.52931683        0.13332267
       -3.98921031        9.84101584        0.04077334        9.05151759        0.59987035        0.14885456
       -3.97921031       10.34466243        0.03853593        9.46273344        0.67760709        0.16578597
       -3.96921031       10.76045417        0.03442561        9.77938463        0.76252705        0.18411688
       -3.95921031        9.70160723        0.02853277        8.76164880        0.74165018        0.16977548
       -3.94921031        8.52204677        0.20488842        7.67134090        0.53516334        0.11065412
       -3.93921031        8.87358120        0.23523795        7.99004592        0.54362201        0.10467532
       -3.92921031        9.18509466        0.25304088        8.27713512        0.55416675        0.10075191
       -3.91921031        8.82219191        0.25214794        7.95844535        0.51931182        0.09228679
       -3.90921031        7.97464242        0.23618364        7.20415908        0.45426779        0.08003191
       -3.89921031        7.10615221        0.21011788        6.43353827        0.39401184        0.06848422
       -3.88921031       30.02359788        1.02880401       27.08912633        1.69542153        0.21024601
       -3.87921031       45.83920024        1.27539480       41.41421106        2.79100658        0.35858781
       -3.86921031       54.44461852        1.05856669       49.15570245        3.71874737        0.51160201
