#  aims_uuid : 53A74103-29E6-4D1A-A202-36252905D105                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.290170 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.70983013        3.40200827        0.16621374        0.38752777        2.75533649        0.09293028
       -5.70483013        3.23985137        0.15039704        0.37734150        2.62354327        0.08856956
       -5.69983013        3.07076576        0.13158001        0.36680461        2.48778300        0.08459814
       -5.69483013        2.89475144        0.10976264        0.35591709        2.34805568        0.08101602
       -5.68983013        2.71180839        0.08494494        0.34467895        2.20436130        0.07782320
       -5.68483013        2.52193664        0.05712691        0.33309019        2.05669987        0.07501967
       -5.67983013        2.82481278        0.04644342        0.44053100        2.25765012        0.08018824
       -5.67483013        2.81139351        0.04376278        0.43561079        2.25169140        0.08032855
       -5.66983013        2.91156457        0.05959399        0.43469933        2.33544951        0.08182174
       -5.66483013        3.04457571        0.08023750        0.43463450        2.44584993        0.08385377
       -5.65983013        3.17584399        0.10004293        0.43397447        2.55578945        0.08603714
       -5.65483013        3.30536942        0.11901026        0.43271922        2.66526808        0.08837185
       -5.64983013        3.43315198        0.13713951        0.43086876        2.77428581        0.09085790
       -5.64483013        3.57056440        0.15453360        0.43194628        2.89038168        0.09370283
       -5.63983013        3.75286925        0.17121556        0.44762420        3.03650112        0.09752837
       -5.63483013        3.93210583        0.18654722        0.46355209        3.18056184        0.10144468
       -5.62983013        4.10827413        0.20052857        0.47972996        3.32256384        0.10545176
       -5.62483013        4.28137416        0.21315962        0.49615779        3.46250714        0.10954961
       -5.61983013        4.45140592        0.22444037        0.51283560        3.60039173        0.11373823
       -5.61483013        4.61836941        0.23437080        0.52976338        3.73621760        0.11801762
       -5.60983013        4.78226462        0.24295094        0.54694113        3.86998477        0.12238779
       -5.60483013        4.94309157        0.25018076        0.56436886        4.00169322        0.12684872
       -5.59983013        5.10085024        0.25606029        0.58204656        4.13134296        0.13140043
       -5.59483013        5.25554063        0.26058950        0.59997423        4.25893399        0.13604291
       -5.58983013        5.40716276        0.26376841        0.61815187        4.38446631        0.14077617
       -5.58483013        6.96918720        0.27828827        0.88370856        5.64518888        0.16200149
       -5.57983013        6.86896598        0.27792537        0.85898519        5.56804180        0.16401362
       -5.57483013        6.77003677        0.27861335        0.84083263        5.48585353        0.16473726
       -5.56983013        6.62503606        0.28016544        0.81797405        5.36374982        0.16314675
       -5.56483013        5.34920751        0.27993771        0.73860937        4.21423611        0.11642433
       -5.55983013        4.91511524        0.29393868        0.70478242        3.81688128        0.09951286
       -5.55483013        4.95848979        0.31293209        0.69582732        3.84952779        0.10020258
       -5.54983013        5.00024753        0.33345076        0.68881360        3.87815822        0.09982496
       -5.54483013        4.90972444        0.35254900        0.67412858        3.78932107        0.09372579
       -5.53983013        4.78991662        0.36740772        0.65759576        3.67768596        0.08722718
       -5.53483013        4.65990287        0.37803836        0.64046429        3.56025493        0.08114528
       -5.52983013        4.51968317        0.38444093        0.62273418        3.43702799        0.07548007
       -5.52483013        4.36925755        0.38661543        0.60440542        3.30800513        0.07023157
       -5.51983013        4.20862599        0.38456185        0.58547802        3.17318635        0.06539977
       -5.51483013        3.43153835        0.33885796        0.41516280        2.62677989        0.05073770
       -5.50983013        3.28843489        0.30774314        0.26987743        2.65076976        0.06004457
       -5.50483013        4.95258653        0.31918617        0.54351021        3.97084593        0.11904421
       -5.49983013        6.60886044        0.34127078        1.04740478        5.06139351        0.15879138
       -5.49483013        5.96701379        0.10084938        1.60475498        4.11161368        0.14979575
       -5.48983013        5.09116957        0.13351548        1.24103437        3.59342622        0.12319349
       -5.48483013        6.13342759        0.18959405        1.62011413        4.19254025        0.13117916
       -5.47983013        4.65669087        0.21532764        0.81427459        3.51913464        0.10795400
       -5.47483013        5.03523341        0.26313925        0.79975176        3.85967679        0.11266561
       -5.46983013        5.41134610        0.31047326        0.78194429        4.20176739        0.11716115
       -5.46483013        5.78502892        0.35732968        0.76085218        4.54540642        0.12144065
       -5.45983013        6.15628189        0.40370849        0.73647544        4.89059388        0.12550408
       -5.45483013        6.52510501        0.44960971        0.70881406        5.23732978        0.12935146
       -5.44983013        6.89149826        0.49503332        0.67786804        5.58561412        0.13298278
       -5.44483013        7.25546166        0.53997934        0.64363738        5.93544689        0.13639805
       -5.43983013        6.95112242        0.59867971        0.44125033        5.78936823        0.12182414
       -5.43483013        6.37710871        0.46981222        0.45272363        5.33929893        0.11527394
       -5.42983013        5.85639152        0.36149928        0.45800443        4.92773319        0.10915461
       -5.42483013        5.38897084        0.27374091        0.45709275        4.55467101        0.10346617
       -5.41983013        4.97484667        0.20653710        0.44998858        4.22011237        0.09820862
       -5.41483013        4.61401901        0.15988785        0.43669192        3.92405729        0.09338195
       -5.40983013        5.86178697        0.29166963        0.51358040        4.94604181        0.11049512
       -5.40483013        8.20713839        0.47273231        0.79525660        6.79102672        0.14812276
       -5.39983013       13.37867231        0.64504481        1.55560592       10.91477886        0.26324272
       -5.39483013       10.88732492        0.58293447        1.49081028        8.60840015        0.20518003
       -5.38983013       10.29349964        0.52328719        1.81821867        7.76701231        0.18498147
       -5.38483013       18.24273648        0.72309300        4.98140076       12.14541369        0.39282903
       -5.37983013       11.92767621        0.34778952        3.03523018        8.30706283        0.23759369
       -5.37483013        5.19991173        0.11075871        1.19973706        3.79644709        0.09296888
       -5.36983013        1.98000006        0.04272817        0.30854376        1.59452864        0.03419948
