# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.820388 eV
#    Energy (eV)      DOS 
         -5.17961223         12.43548314
         -5.17461223         12.80803371
         -5.16961223         13.18058427
         -5.16461223         13.55313484
         -5.15961223         13.92568541
         -5.15461223        101.84809061
         -5.14961223         18.22345649
         -5.14461223         18.72682971
         -5.13961223        165.96836750
         -5.13461223         23.01540122
         -5.12961223         23.60187444
         -5.12461223         24.18834766
         -5.11961223         24.77482088
         -5.11461223         25.36129410
         -5.10961223         25.94776732
         -5.10461223         31.81682014
         -5.09961223         30.27969131
         -5.09461223         28.74256249
         -5.08961223         27.20543367
         -5.08461223         25.66830484
         -5.07961223         24.13117602
         -5.07461223         22.59404720
         -5.06961223         21.05691837
         -5.06461223         19.51978955
         -5.05961223         17.98266073
         -5.05461223         16.44553191
         -5.04961223         15.64490416
         -5.04461223         15.90509101
         -5.03961223         16.19902005
         -5.03461223         16.49294909
         -5.02961223         19.78026496
         -5.02461223         20.14988660
         -5.01961223         20.51950824
         -5.01461223         20.88912987
         -5.00961223         21.25875151
         -5.00461223         21.62837315
         -4.99961223         21.99799479
         -4.99461223         22.36761643
         -4.98961223         22.73723807
         -4.98461223         23.10685970
         -4.97961223         23.47648134
         -4.97461223         23.84610298
         -4.96961223         24.21572462
         -4.96461223         24.84521171
         -4.95961223         25.50623703
         -4.95461223         26.16726235
         -4.94961223         26.82828767
         -4.94461223         27.48931299
         -4.93961223         28.15033832
         -4.93461223         28.71898946
         -4.92961223         40.02533288
         -4.92461223         38.03243896
         -4.91961223         36.03954505
         -4.91461223         25.89764013
         -4.90961223         25.33792977
         -4.90461223         24.75889539
         -4.89961223         24.05133228
         -4.89461223         23.35710887
         -4.88961223         22.66288545
         -4.88461223         21.96866203
         -4.87961223         21.27443862
         -4.87461223         20.58021520
         -4.86961223         19.88599178
         -4.86461223         22.28099504
         -4.85961223         28.35867213
         -4.85461223         34.43634923
         -4.84961223         40.51402633
         -4.84461223         46.59170342
         -4.83961223         46.69242795
         -4.83461223         53.04948375
         -4.82961223         59.84263520
         -4.82461223         30.48413671
         -4.81961223         31.75563464
         -4.81461223         33.02713256
         -4.80961223         34.29863049
         -4.80461223         35.57012841
         -4.79961223         27.64782061
         -4.79461223         22.12681123
         -4.78961223         22.56441001
         -4.78461223         23.00200880
         -4.77961223         23.43960759
         -4.77461223         23.87720638
         -4.76961223         24.31480517
         -4.76461223         24.75240396
         -4.75961223         25.07135501
         -4.75461223         38.83247866
         -4.74961223         52.59360231
         -4.74461223         29.28135791
         -4.73961223         44.45795651
         -4.73461223         59.63455511
         -4.72961223         74.81115371
         -4.72461223        171.87885758
         -4.71961223        106.98380405
         -4.71461223         30.37033859
         -4.70961223         23.96404721
         -4.70461223         23.59432053
         -4.69961223        439.89607686
         -4.69461223         50.65919556
         -4.68961223         48.77461697
         -4.68461223         46.89003837
         -4.67961223         45.00545978
         -4.67461223         31.81263576
         -4.66961223         35.11956952
         -4.66461223         58.64909892
