#  aims_uuid : 33E00858-CDA5-4932-AF88-8FBDF56B5174                                
# spin_dn angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       18.32047700        0.20828257        3.59580257       14.34004569        0.15377187        0.02257429
       -9.99500000       23.80607574        0.32193939        4.33202721       18.93266168        0.18755145        0.03189600
       -9.99000000       29.87395085        0.45320909        4.36884020       24.80852897        0.19732426        0.04604834
       -9.98500000       22.88567526        0.33328407        2.47819144       19.91234728        0.12287690        0.03897557
       -9.98000000       24.17317056        0.14035175        2.52333111       21.02527331        0.45991352        0.02430087
       -9.97500000       18.42650833        0.11147154        1.86683121       16.11768795        0.31023846        0.02027917
       -9.97000000       16.34752116        0.08351621        1.56181937       14.43757154        0.24545855        0.01915549
       -9.96500000       14.20868657        0.05107798        1.25627509       12.69644042        0.18735047        0.01754261
       -9.96000000       14.90506971        0.11624746        1.36923857       13.24572030        0.15264938        0.02121399
       -9.95500000       26.34638266        0.29549573        2.43853976       23.38929410        0.18029743        0.04275564
       -9.95000000        2.37640553        0.07273123        0.36109954        1.90339932        0.03576776        0.00340768
       -9.94500000        3.11232309        0.10977577        0.49011410        2.46473933        0.04285515        0.00483875
       -9.94000000        3.84141918        0.15139831        0.62504830        3.00918250        0.04945883        0.00633124
       -9.93500000        4.56369380        0.19759886        0.76590216        3.53672882        0.05557881        0.00788515
       -9.93000000        5.27914695        0.24837741        0.91267566        4.04737831        0.06121509        0.00950049
       -9.92500000        5.98777864        0.30373396        1.06536881        4.54113095        0.06636767        0.01117725
       -9.92000000        6.68958885        0.36366851        1.22398161        5.01798676        0.07103654        0.01291543
       -9.91500000        7.38457760        0.42818107        1.38851405        5.47794573        0.07522172        0.01471504
       -9.91000000        8.07274489        0.49727163        1.55896615        5.92100785        0.07892319        0.01657607
       -9.90500000        9.52529468        0.57326965        1.80258742        7.04266832        0.08717626        0.01959303
       -9.90000000       23.04937672        1.42839557        4.40065073       16.97459891        0.19703948        0.04869203
       -9.89500000       17.45887678        0.94215276        2.97786977       13.35547795        0.14854544        0.03483086
       -9.89000000       14.72420963        0.84754267        2.54804223       11.17277203        0.12674994        0.02910276
       -9.88500000       16.55211266        1.10580070        3.04286136       12.22279174        0.14738433        0.03327453
       -9.88000000       16.78583373        1.15580914        3.05533470       12.38695273        0.15468037        0.03305678
       -9.87500000       17.02286700        1.18425310        3.04985223       12.59304849        0.16306248        0.03265070
       -9.87000000       17.26321248        1.19113258        3.02641393       12.84107902        0.17253064        0.03205631
       -9.86500000       17.50687016        1.17644757        2.98501983       13.13104431        0.18308487        0.03127359
       -9.86000000       60.04936972        2.61104731        9.50158473       47.21299612        0.63680537        0.08693620
       -9.85500000       19.84162970        1.09718462        3.43252762       15.03967965        0.24112571        0.03111210
       -9.85000000       24.80046705        2.02162141        5.19356389       17.22391680        0.31759767        0.04376729
       -9.84500000       28.48534666        2.07490667        5.57101492       20.42131875        0.37029350        0.04781282
       -9.84000000       27.32236515        1.61598836        4.81182980       20.48387308        0.36886885        0.04180505
       -9.83500000       24.28303892        1.82650885        4.52663640       17.54186686        0.34971347        0.03831332
       -9.83000000       21.24579872        1.98668470        4.19537784       14.70172612        0.32664530        0.03536476
       -9.82500000       42.16245642        4.85093576        7.84455979       28.57498964        0.81716781        0.07480342
       -9.82000000       40.49043791        5.97749052        9.29313986       24.47419972        0.65741766        0.08819015
       -9.81500000       11.63214785        1.62336396        2.66939432        7.09699596        0.21836042        0.02403319
       -9.81000000       11.10993527        2.22204820        3.06630183        5.62367701        0.17074359        0.02716465
       -9.80500000        4.51235020        1.10882142        1.29665301        2.02932601        0.06592344        0.01162632
