#  aims_uuid : 33E00858-CDA5-4932-AF88-8FBDF56B5174                                
# spin_dn angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       35.14928167        2.12551716       30.09525929        2.69865262        0.22347822        0.00637438
       -9.99500000       45.27053039        3.01204246       38.59099607        3.35977782        0.29874598        0.00896806
       -9.99000000       54.80950273        4.33573457       46.23343264        3.83233462        0.39531159        0.01268931
       -9.98500000       40.12432700        3.67441474       33.44710619        2.67633138        0.31595382        0.01052086
       -9.98000000       49.39288991        2.17803796       45.17278760        1.74037993        0.24142442        0.06026000
       -9.97500000       36.73352181        1.88213381       33.15224824        1.46604519        0.19301582        0.04007875
       -9.97000000       31.66480051        1.80593065       28.23901646        1.41041673        0.17838364        0.03105304
       -9.96500000       26.65592664        1.68230029       23.46852882        1.32105820        0.16096332        0.02307600
       -9.96000000       27.31408545        2.04791050       23.54160550        1.52494311        0.18180715        0.01781919
       -9.95500000       46.62594382        4.15623507       39.12791914        2.97642406        0.34684728        0.01851827
       -9.95000000        5.18820745        0.34086115        4.60715661        0.20916325        0.02649713        0.00452931
       -9.94500000        6.77744423        0.47981883        5.96723144        0.28878990        0.03630208        0.00530198
       -9.94000000        8.37350248        0.62511393        7.32560057        0.37054991        0.04625341        0.00598466
       -9.93500000        9.97638220        0.77674643        8.68226403        0.45444327        0.05635111        0.00657737
       -9.93000000       11.58608338        0.93471634       10.03722179        0.54046998        0.06659518        0.00708009
       -9.92500000       13.20260603        1.09902366       11.39047387        0.62863005        0.07698562        0.00749283
       -9.92000000       14.82595016        1.26966838       12.74202027        0.71892347        0.08752244        0.00781559
       -9.91500000       16.45611574        1.44665052       14.09186097        0.81135025        0.09820564        0.00804836
       -9.91000000       18.09310280        1.62997006       15.43999599        0.90591038        0.10903520        0.00819116
       -9.90500000       21.06914643        1.93479749       17.89048295        1.10548947        0.12980754        0.00856897
       -9.90000000       50.95984555        4.82987747       43.05322059        2.73763118        0.32105008        0.01806623
       -9.89500000       37.33513743        3.52933836       31.44749889        2.10381326        0.24156950        0.01291743
       -9.89000000       31.35214692        2.90257411       26.42008575        1.81715059        0.20103004        0.01130643
       -9.88500000       35.67220791        3.23661881       30.12841853        2.06948864        0.22366520        0.01401673
       -9.88000000       35.95197529        3.18917744       30.40032866        2.12312322        0.22433483        0.01501113
