#  aims_uuid : 811A0BA6-D354-48C4-A39E-DA5BB30761F1                                
# spin_up angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       13.20192794        0.92432857        1.01037477       11.15625365        0.10464012        0.00633084
       -9.99500000       13.10886287        0.82057986        0.99911569       11.18235355        0.09971855        0.00709522
       -9.99000000       18.44946550        0.84344333        1.60537015       15.83624060        0.15535970        0.00905172
       -9.98500000        7.98804665        0.56810191        0.73626360        6.60509297        0.07591930        0.00266887
       -9.98000000        7.53038637        0.58768570        0.70884754        6.16151096        0.06954477        0.00279739
       -9.97500000        8.27889835        0.61557186        0.93276540        6.65021486        0.07718774        0.00315849
       -9.97000000        9.18076319        0.67913767        1.10331246        7.31059788        0.08386582        0.00384935
       -9.96500000       10.83792080        0.81214519        1.28138285        8.64428374        0.09508370        0.00502532
       -9.96000000       13.02330362        0.99682145        1.45148955       10.45967530        0.10865292        0.00666440
       -9.95500000        2.54132636        0.12620501        0.28135827        2.11011140        0.02287715        0.00077454
       -9.95000000        3.48966251        0.16183745        0.40338280        2.89213603        0.03115934        0.00114689
       -9.94500000        4.42376059        0.19041053        0.53326898        3.65934783        0.03917217        0.00156108
       -9.94000000        5.34362061        0.21192426        0.67101681        4.41174681        0.04691563        0.00201710
       -9.93500000        6.24924257        0.22637863        0.81662628        5.14933297        0.05438974        0.00251495
       -9.93000000        7.14062648        0.23377365        0.97009739        5.87210631        0.06159448        0.00305464
       -9.92500000        8.01777232        0.23410931        1.13143015        6.58006683        0.06852987        0.00363617
       -9.92000000        5.52874197        0.15905820        0.76764754        4.55286125        0.04650498        0.00266999
       -9.91500000        4.97623249        0.00007421        1.21818185        3.70369767        0.05281293        0.00146583
       -9.91000000        5.80356932        0.00843803        1.38493011        4.34687867        0.06157203        0.00175048
       -9.90500000        6.74661326        0.03066222        1.51039092        5.13313556        0.07022704        0.00219753
       -9.90000000        7.80536430        0.06674677        1.59456429        6.06246832        0.07877796        0.00280696
       -9.89500000        7.89516088        0.08054349        1.54184197        6.19077813        0.07906877        0.00292853
       -9.89000000        7.31128597        0.07301489        1.42396901        5.73754847        0.07409162        0.00266198
       -9.88500000        6.71686607        0.06412366        1.31040102        5.27093655        0.06901860        0.00238624
       -9.88000000        6.11190117        0.05386979        1.20113798        4.79094236        0.06384972        0.00210131
       -9.87500000        5.49639127        0.04225328        1.09617991        4.29756590        0.05858497        0.00180720
       -9.87000000        4.87033638        0.02927414        0.99552680        3.79080718        0.05322436        0.00150390
       -9.86500000        5.61790172        0.01562159        1.09793092        4.44157760        0.06108066        0.00169094
       -9.86000000        5.30557199        0.00825848        0.86019000        4.38146440        0.05386042        0.00179869
       -9.85500000        8.40383088        0.02418010        1.33404605        6.95656237        0.08610828        0.00293409
       -9.85000000       11.43813624        0.04845408        1.82953831        9.43669979        0.11940299        0.00404107
       -9.84500000       23.97003241        1.95664862        3.06959664       18.67885385        0.25574506        0.00918823
       -9.84000000        8.84894618        0.50428741        1.22097498        7.02881505        0.09121529        0.00365345
       -9.83500000       11.04097218        0.52780039        1.52667685        8.86641053        0.11543968        0.00464473
       -9.83000000       11.46381206        0.58620577        1.56395293        9.18998968        0.11858965        0.00507403
       -9.82500000       11.92305364        0.65307929        1.58535291        9.55727425        0.12177888        0.00556832
       -9.82000000       12.41869692        0.72842095        1.59087679        9.96826425        0.12500736        0.00612758
       -9.81500000       12.95074192        0.81223075        1.58052458       10.42295967        0.12827510        0.00675182
       -9.81000000       13.51918863        0.90450868        1.55429627       10.92136053        0.13158210        0.00744105
       -9.80500000        6.14662634        0.41092829        0.75339498        4.91357097        0.06587863        0.00285346
       -9.80000000        6.15185722        0.41465234        0.76191460        4.90630906        0.06609992        0.00288130
       -9.79500000        6.15257499        0.41777292        0.77291385        4.89261708        0.06637508        0.00289605
       -9.79000000        6.14877963        0.42029001        0.78639273        4.87249504        0.06670413        0.00289773
       -9.78500000        6.14047115        0.42220361        0.80235123        4.84594293        0.06708705        0.00288632
       -9.78000000        4.57679187        0.27074781        0.68216270        3.56924242        0.05268139        0.00195755
       -9.77500000        5.44150032        0.31224193        0.82633870        4.23812814        0.06241215        0.00237940
       -9.77000000        6.01228826        0.30020565        0.96906134        4.67009141        0.07041039        0.00251947
       -9.76500000        6.33144479        0.17840419        1.10023471        4.97447900        0.07589902        0.00242787
       -9.76000000        7.64488400        0.15206173        1.33130557        6.06720929        0.09153092        0.00277649
